id,title,type,genres,averageRating,numVotes,releaseYear
tt0035423,Kate & Leopold,movie,"Comedy, Fantasy, Romance",6.4,91660.0,2001.0
tt0069049,The Other Side of the Wind,movie,Drama,6.7,8286.0,2018.0
tt0118589,Glitter,movie,"Drama, Music, Romance",2.4,24315.0,2001.0
tt0118694,In the Mood for Love,movie,"Drama, Romance",8.1,176565.0,2000.0
tt0118926,The Dancer Upstairs,movie,"Crime, Drama, Thriller",6.8,7108.0,2002.0
tt0119273,Heavy Metal 2000,movie,"Action, Adventure, Animation",5.4,9793.0,2000.0
tt0120202,State and Main,movie,"Comedy, Drama",6.7,23081.0,2000.0
tt0120263,Songs from the Second Floor,movie,"Comedy, Drama",7.5,20914.0,2000.0
tt0120630,Chicken Run,movie,"Adventure, Animation, Comedy",7.1,218833.0,2000.0
tt0120667,Fantastic Four,movie,"Action, Adventure, Fantasy",5.7,355263.0,2005.0
tt0120679,Frida,movie,"Biography, Drama, Romance",7.3,98448.0,2002.0
tt0120681,From Hell,movie,"Crime, Horror, Mystery",6.7,168158.0,2001.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2102409.0,2001.0
tt0120753,The Million Dollar Hotel,movie,"Drama, Mystery, Thriller",5.7,22858.0,2000.0
tt0120755,Mission: Impossible II,movie,"Action, Adventure, Thriller",6.1,390724.0,2000.0
tt0120804,Resident Evil,movie,"Action, Horror, Sci-Fi",6.6,298843.0,2002.0
tt0120824,The Shipping News,movie,Drama,6.7,34359.0,2001.0
tt0120903,X-Men,movie,"Action, Adventure, Sci-Fi",7.3,671964.0,2000.0
tt0120912,Men in Black II,movie,"Action, Adventure, Comedy",6.2,418170.0,2002.0
tt0120913,Titan A.E.,movie,"Action, Adventure, Animation",6.6,65269.0,2000.0
tt0120917,The Emperor's New Groove,movie,"Adventure, Animation, Comedy",7.4,236954.0,2000.0
tt0121164,Corpse Bride,movie,"Animation, Comedy, Drama",7.4,313178.0,2005.0
tt0121765,Star Wars: Episode II - Attack of the Clones,movie,"Action, Adventure, Fantasy",6.6,786370.0,2002.0
tt0121766,Star Wars: Episode III - Revenge of the Sith,movie,"Action, Adventure, Fantasy",7.6,876972.0,2005.0
tt0122459,Return to Me,movie,"Comedy, Drama, Romance",7.0,23960.0,2000.0
tt0125022,Heartbreakers,movie,"Comedy, Crime, Romance",6.3,60187.0,2001.0
tt0126029,Shrek,movie,"Adventure, Animation, Comedy",7.9,771447.0,2001.0
tt0127349,Waking the Dead,movie,"Drama, Mystery, Romance",6.4,7812.0,2000.0
tt0130623,Dinosaur,movie,"Adventure, Animation, Drama",6.4,70085.0,2000.0
tt0131704,The Adventures of Rocky & Bullwinkle,movie,"Adventure, Comedy, Family",4.3,21564.0,2000.0
tt0132245,Driven,movie,"Action, Drama, Sport",4.6,44054.0,2001.0
tt0132910,The Crow: Salvation,movie,"Action, Crime, Fantasy",4.9,13351.0,2000.0
tt0133152,Planet of the Apes,movie,"Action, Adventure, Sci-Fi",5.7,237794.0,2001.0
tt0133240,Treasure Planet,movie,"Adventure, Animation, Family",7.2,140579.0,2002.0
tt0134084,Scream 3,movie,"Horror, Mystery",5.7,173410.0,2000.0
tt0134630,Duets,movie,"Comedy, Drama, Music",6.1,10235.0,2000.0
tt0134847,Pitch Black,movie,"Horror, Sci-Fi, Thriller",7.0,258922.0,2000.0
tt0134983,Supernova,movie,"Horror, Sci-Fi, Thriller",4.9,20321.0,2000.0
tt0138524,Intolerable Cruelty,movie,"Comedy, Crime, Romance",6.3,103711.0,2003.0
tt0138749,The Road to El Dorado,movie,"Adventure, Animation, Comedy",6.9,113063.0,2000.0
tt0138946,The Yards,movie,"Crime, Drama, Romance",6.4,23889.0,2000.0
tt0139654,Training Day,movie,"Crime, Drama, Thriller",7.8,494815.0,2001.0
tt0141907,Town & Country,movie,"Comedy, Romance",4.5,5364.0,2001.0
tt0141926,U-571,movie,"Action, War",6.6,89702.0,2000.0
tt0144084,American Psycho,movie,"Crime, Drama, Horror",7.6,776965.0,2000.0
tt0144528,Nutty Professor II: The Klumps,movie,"Comedy, Romance, Sci-Fi",4.5,54526.0,2000.0
tt0144964,Highlander: Endgame,movie,"Action, Adventure, Fantasy",4.6,21727.0,2000.0
tt0145487,Spider-Man,movie,"Action, Adventure, Sci-Fi",7.4,920787.0,2002.0
tt0145937,Naqoyqatsi,movie,"Documentary, Music",6.4,6416.0,2002.0
tt0146309,Thirteen Days,movie,"Drama, History, Thriller",7.3,64708.0,2000.0
tt0146316,Lara Croft: Tomb Raider,movie,"Action, Adventure, Fantasy",5.8,224863.0,2001.0
tt0146882,High Fidelity,movie,"Comedy, Drama, Music",7.4,194745.0,2000.0
tt0146984,The Legend of Bagger Vance,movie,"Drama, Sport",6.7,60708.0,2000.0
tt0149367,Where the Money Is,movie,"Comedy, Crime, Drama",6.3,6610.0,2000.0
tt0149624,All the Pretty Horses,movie,"Drama, Romance, Western",5.8,16005.0,2000.0
tt0151150,Josh,movie,"Action, Drama, Musical",6.1,11407.0,2000.0
tt0156323,Screwed,movie,"Comedy, Crime",5.7,9776.0,2000.0
tt0156812,My Dog Skip,movie,"Comedy, Drama, Family",7.0,21721.0,2000.0
tt0156841,The Next Best Thing,movie,"Comedy, Drama, Romance",4.7,11920.0,2000.0
tt0157262,2001: A Space Travesty,movie,"Comedy, Sci-Fi",3.5,13254.0,2000.0
tt0157472,Clockstoppers,movie,"Action, Adventure, Comedy",5.2,15431.0,2002.0
tt0157583,Enigma,movie,"Drama, Mystery, Romance",6.4,22313.0,2001.0
tt0158622,The Flintstones in Viva Rock Vegas,movie,"Comedy, Family, Romance",3.7,26251.0,2000.0
tt0159273,Behind Enemy Lines,movie,"Action, Drama, Thriller",6.4,116394.0,2001.0
tt0159365,Cold Mountain,movie,"Adventure, Drama, Romance",7.2,160421.0,2003.0
tt0159784,Takedown,movie,"Biography, Crime, Drama",6.2,7327.0,2000.0
tt0160009,The Art of War,movie,"Action, Adventure, Crime",5.7,31584.0,2000.0
tt0160127,Charlie's Angels,movie,"Action, Adventure, Comedy",5.6,201842.0,2000.0
tt0160184,D-Tox,movie,"Crime, Thriller",5.3,30257.0,2002.0
tt0160399,Impostor,movie,"Drama, Mystery, Sci-Fi",6.2,24938.0,2001.0
tt0160484,Lost Souls,movie,"Drama, Horror, Thriller",4.8,11575.0,2000.0
tt0160611,Ordinary Decent Criminal,movie,"Comedy, Crime",6.3,14600.0,2000.0
tt0160797,Rules of Engagement,movie,"Drama, Thriller, War",6.4,51522.0,2000.0
tt0161081,What Lies Beneath,movie,"Drama, Horror, Mystery",6.6,140242.0,2000.0
tt0161083,What's the Worst That Could Happen?,movie,"Comedy, Crime",5.5,17466.0,2001.0
tt0161860,Nowhere in Africa,movie,"Biography, Drama, History",7.5,14441.0,2001.0
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,663915.0,2000.0
tt0162346,Ghost World,movie,"Comedy, Drama",7.3,129616.0,2001.0
tt0162650,Shaft,movie,"Action, Crime, Thriller",6.0,82897.0,2000.0
tt0162983,Hanging Up,movie,"Comedy, Drama",4.9,13456.0,2000.0
tt0163025,Jurassic Park III,movie,"Action, Adventure, Sci-Fi",5.9,352145.0,2001.0
tt0163978,The Beach,movie,"Adventure, Drama, Romance",6.6,260639.0,2000.0
tt0163983,Bless the Child,movie,"Crime, Drama, Horror",5.1,15682.0,2000.0
tt0164003,City of Ghosts,movie,"Crime, Drama, Thriller",5.9,5990.0,2002.0
tt0164052,Hollow Man,movie,"Action, Horror, Sci-Fi",5.9,142162.0,2000.0
tt0164184,The Sum of All Fears,movie,"Action, Drama, Thriller",6.5,128270.0,2002.0
tt0164212,Under Suspicion,movie,"Crime, Drama, Thriller",6.4,29324.0,2000.0
tt0164334,Along Came a Spider,movie,"Crime, Drama, Mystery",6.4,99024.0,2001.0
tt0164961,Vidocq,movie,"Action, Crime, Fantasy",6.4,23551.0,2001.0
tt0165361,Highway,movie,"Crime, Drama",6.1,7016.0,2002.0
tt0165832,Interstate 60,movie,"Adventure, Comedy, Drama",7.5,38712.0,2002.0
tt0165929,Romeo Must Die,movie,"Action, Crime, Thriller",6.1,75384.0,2000.0
tt0165982,Sinbad: Legend of the Seven Seas,movie,"Adventure, Animation, Comedy",6.7,61873.0,2003.0
tt0166110,Bones,movie,"Crime, Horror",4.5,8505.0,2001.0
tt0166276,Monkeybone,movie,"Comedy, Fantasy",4.8,19656.0,2001.0
tt0166813,Spirit: Stallion of the Cimarron,movie,"Adventure, Animation, Drama",7.2,90122.0,2002.0
tt0166924,Mulholland Drive,movie,"Drama, Mystery, Thriller",7.9,405910.0,2001.0
tt0167190,Hellboy,movie,"Action, Adventure, Fantasy",6.9,360693.0,2004.0
tt0167203,I Dreamed of Africa,movie,"Adventure, Biography, Drama",5.6,5019.0,2000.0
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2072483.0,2003.0
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1868450.0,2002.0
tt0167456,Thunderbirds,movie,"Action, Adventure, Comedy",4.3,14786.0,2004.0
tt0168629,Dancer in the Dark,movie,"Crime, Drama, Musical",7.9,120396.0,2000.0
tt0168786,Antwone Fisher,movie,"Biography, Drama",7.3,39599.0,2002.0
tt0168856,A Fish Tale,movie,"Adventure, Animation, Comedy",6.0,7705.0,2000.0
tt0169102,Lagaan: Once Upon a Time in India,movie,"Drama, Musical, Sport",8.1,123700.0,2001.0
tt0170016,How the Grinch Stole Christmas,movie,"Comedy, Family, Fantasy",6.4,311969.0,2000.0
tt0170691,Tigerland,movie,"Drama, War",6.9,44314.0,2000.0
tt0171356,Gun Shy,movie,"Comedy, Crime, Romance",5.6,8107.0,2000.0
tt0171359,Hamlet,movie,"Drama, Romance, Thriller",5.9,10212.0,2000.0
tt0171433,Keeping the Faith,movie,"Comedy, Drama, Romance",6.4,53833.0,2000.0
tt0171580,Nurse Betty,movie,"Comedy, Crime, Drama",6.3,36679.0,2000.0
tt0172156,Bad Boys II,movie,"Action, Comedy, Crime",6.6,280702.0,2003.0
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1753767.0,2000.0
tt0173716,Cecil B. Demented,movie,"Comedy, Crime, Thriller",6.3,17421.0,2000.0
tt0173840,Final Fantasy: The Spirits Within,movie,"Action, Adventure, Animation",6.4,84994.0,2001.0
tt0174480,Autumn in New York,movie,"Drama, Romance",5.6,29486.0,2000.0
tt0175142,Scary Movie,movie,Comedy,6.3,302421.0,2000.0
tt0176783,Gossip,movie,"Drama, Mystery, Thriller",5.9,17997.0,2000.0
tt0177858,In July,movie,"Adventure, Comedy, Romance",7.6,23179.0,2000.0
tt0177882,Kebab Connection,movie,"Action, Comedy, Romance",6.6,5258.0,2004.0
tt0177971,The Perfect Storm,movie,"Action, Adventure, Drama",6.5,183416.0,2000.0
tt0179098,Moonlight Mile,movie,"Drama, Romance",6.6,14963.0,2002.0
