id,title,type,genres,averageRating,numVotes,releaseYear
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2072483.0,2003.0
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1868450.0,2002.0
tt0167456,Thunderbirds,movie,"Action, Adventure, Comedy",4.3,14786.0,2004.0
tt0168629,Dancer in the Dark,movie,"Crime, Drama, Musical",7.9,120396.0,2000.0
tt0168786,Antwone Fisher,movie,"Biography, Drama",7.3,39599.0,2002.0
tt0168856,A Fish Tale,movie,"Adventure, Animation, Comedy",6.0,7705.0,2000.0
tt0169102,Lagaan: Once Upon a Time in India,movie,"Drama, Musical, Sport",8.1,123700.0,2001.0
tt0170016,How the Grinch Stole Christmas,movie,"Comedy, Family, Fantasy",6.4,311969.0,2000.0
tt0170691,Tigerland,movie,"Drama, War",6.9,44314.0,2000.0
tt0171356,Gun Shy,movie,"Comedy, Crime, Romance",5.6,8107.0,2000.0
tt0171359,Hamlet,movie,"Drama, Romance, Thriller",5.9,10212.0,2000.0
tt0171433,Keeping the Faith,movie,"Comedy, Drama, Romance",6.4,53833.0,2000.0
tt0171580,Nurse Betty,movie,"Comedy, Crime, Drama",6.3,36679.0,2000.0
tt0172156,Bad Boys II,movie,"Action, Comedy, Crime",6.6,280702.0,2003.0
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1753767.0,2000.0
tt0173716,Cecil B. Demented,movie,"Comedy, Crime, Thriller",6.3,17421.0,2000.0
tt0173840,Final Fantasy: The Spirits Within,movie,"Action, Adventure, Animation",6.4,84994.0,2001.0
tt0174480,Autumn in New York,movie,"Drama, Romance",5.6,29486.0,2000.0
tt0175142,Scary Movie,movie,Comedy,6.3,302421.0,2000.0
tt0176783,Gossip,movie,"Drama, Mystery, Thriller",5.9,17997.0,2000.0
tt0177858,In July,movie,"Adventure, Comedy, Romance",7.6,23179.0,2000.0
tt0177882,Kebab Connection,movie,"Action, Comedy, Romance",6.6,5258.0,2004.0
tt0177971,The Perfect Storm,movie,"Action, Adventure, Drama",6.5,183416.0,2000.0
tt0179098,Moonlight Mile,movie,"Drama, Romance",6.6,14963.0,2002.0
tt0179183,Fortress 2: Re-Entry,movie,"Action, Sci-Fi",4.5,7503.0,2000.0
tt0179626,15 Minutes,movie,"Action, Crime, Drama",6.1,52697.0,2001.0
tt0180052,The Adventures of Pluto Nash,movie,"Action, Comedy, Sci-Fi",3.9,27707.0,2002.0
tt0180073,Quills,movie,"Biography, Drama",7.2,58026.0,2000.0
tt0180093,Requiem for a Dream,movie,Drama,8.3,936648.0,2000.0
tt0180734,Hardball,movie,"Comedy, Drama, Sport",6.4,34737.0,2001.0
tt0181151,What Planet Are You From?,movie,"Comedy, Sci-Fi",5.6,9974.0,2000.0
tt0181536,Finding Forrester,movie,"Drama, Sport",7.3,91486.0,2000.0
tt0181689,Minority Report,movie,"Action, Crime, Mystery",7.6,601301.0,2002.0
tt0181739,Osmosis Jones,movie,"Action, Adventure, Animation",6.3,40171.0,2001.0
tt0181852,Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",6.3,427806.0,2003.0
tt0181865,Traffic,movie,"Crime, Drama, Thriller",7.5,224737.0,2000.0
tt0181875,Almost Famous,movie,"Adventure, Comedy, Drama",7.9,303516.0,2000.0
tt0181984,Boiler Room,movie,"Crime, Drama, Thriller",7.0,57899.0,2000.0
tt0182000,The Caveman's Valentine,movie,"Crime, Drama, Music",5.8,8231.0,2001.0
tt0182295,Love's Labour's Lost,movie,"Comedy, Musical, Romance",5.9,5008.0,2000.0
tt0183505,"Me, Myself & Irene",movie,Comedy,6.6,258360.0,2000.0
tt0183523,Mission to Mars,movie,"Adventure, Sci-Fi, Thriller",5.7,77919.0,2000.0
tt0183649,Phone Booth,movie,"Crime, Thriller",7.1,294273.0,2002.0
tt0183659,Pollock,movie,"Biography, Drama",7.0,30359.0,2000.0
tt0183790,A Knight's Tale,movie,"Action, Adventure, Drama",7.0,210224.0,2001.0
tt0183869,Taxi 2,movie,"Action, Comedy, Crime",6.5,61035.0,2000.0
tt0184791,O,movie,"Drama, Romance, Thriller",6.1,22291.0,2001.0
tt0184858,Reindeer Games,movie,"Action, Crime, Thriller",5.8,43488.0,2000.0
tt0184894,Shanghai Noon,movie,"Action, Adventure, Comedy",6.6,138630.0,2000.0
tt0184907,Snow Day,movie,"Adventure, Comedy, Family",5.2,14245.0,2000.0
tt0185014,Wonder Boys,movie,"Comedy, Drama",7.2,67794.0,2000.0
tt0185183,Battlefield Earth,movie,"Action, Adventure, Sci-Fi",2.5,84531.0,2000.0
tt0185431,Little Nicky,movie,"Comedy, Fantasy",5.3,115824.0,2000.0
tt0199727,"Love, Honor and Obey",movie,"Comedy, Crime",6.4,5897.0,2000.0
tt0209077,Ken Park,movie,Drama,5.8,31412.0,2002.0
tt0209144,Memento,movie,"Mystery, Thriller",8.4,1375597.0,2000.0
tt0209163,The Mummy Returns,movie,"Action, Adventure, Fantasy",6.4,357216.0,2001.0
tt0209180,Sky Hook,movie,"Drama, Sport, War",8.1,5388.0,2000.0
tt0209475,The Wedding Planner,movie,"Comedy, Romance",5.4,89984.0,2001.0
tt0209958,The Cell,movie,"Crime, Horror, Sci-Fi",6.4,112764.0,2000.0
tt0210065,Gangster No. 1,movie,"Crime, Drama, Thriller",6.7,15233.0,2000.0
tt0210070,Ginger Snaps,movie,"Drama, Fantasy, Horror",6.8,55173.0,2000.0
tt0210075,Girlfight,movie,"Drama, Sport",6.7,11685.0,2000.0
tt0210358,Things You Can Tell Just by Looking at Her,movie,"Drama, Romance",6.4,7515.0,2000.0
tt0210382,The Weight of Water,movie,"Crime, Drama, Mystery",5.8,10250.0,2000.0
tt0210616,Center Stage,movie,"Drama, Music, Romance",6.7,23312.0,2000.0
tt0210945,Remember the Titans,movie,"Biography, Comedy, Drama",7.8,239987.0,2000.0
tt0211181,102 Dalmatians,movie,"Adventure, Comedy, Family",4.9,40730.0,2000.0
tt0211387,Water Drops on Burning Rocks,movie,"Comedy, Drama, Romance",6.7,7125.0,2000.0
tt0211443,Jason X,movie,"Action, Horror, Sci-Fi",4.5,64026.0,2001.0
tt0211465,Knockaround Guys,movie,"Crime, Drama, Thriller",6.1,25310.0,2001.0
tt0211915,Amélie,movie,"Comedy, Romance",8.3,817084.0,2001.0
tt0211933,Awake,movie,"Crime, Drama, Mystery",6.5,83203.0,2007.0
