id,title,type,genres,averageRating,numVotes,releaseYear
tt1905041,Fast & Furious 6,movie,"Action, Thriller",7.0,428065.0,2013.0
tt1906329,As Cool as I Am,movie,"Comedy, Drama",5.8,5561.0,2013.0
tt1906426,Michael,movie,"Drama, Thriller",6.9,5292.0,2011.0
tt1907668,Flight,movie,"Drama, Thriller",7.3,386474.0,2012.0
tt1907731,Nobody Walks,movie,Drama,5.3,5284.0,2012.0
tt1907761,Stanley Ka Dabba,movie,"Comedy, Drama, Family",7.8,7868.0,2011.0
tt1907779,The Dinosaur Project,movie,"Action, Adventure, Drama",4.5,6005.0,2012.0
tt1909827,Red Sheep,movie,"Drama, Fantasy, Thriller",6.4,5300.0,2012.0
tt1911553,The Chef,movie,"Comedy, Drama",6.6,18551.0,2012.0
tt1911600,Miss Bala,movie,"Action, Crime, Drama",6.5,9560.0,2011.0
tt1911644,The Call,movie,"Drama, Horror, Thriller",6.7,132207.0,2013.0
tt1911658,Penguins of Madagascar,movie,"Action, Adventure, Animation",6.6,108670.0,2014.0
tt1911662,Vehicle 19,movie,"Action, Thriller",4.9,16216.0,2013.0
tt1912398,God Bless America,movie,"Comedy, Crime, Drama",7.1,73064.0,2011.0
tt1913166,Nurse,movie,"Horror, Thriller",4.5,11873.0,2013.0
tt1915581,Magic Mike,movie,"Comedy, Drama, Music",6.1,150121.0,2012.0
tt19175696,Sister Death,movie,"Horror, Mystery",5.7,9781.0,2023.0
tt1918734,2067,movie,"Mystery, Sci-Fi",4.9,12368.0,2020.0
tt1918886,Joker,movie,"Comedy, Family, Sci-Fi",2.5,6163.0,2012.0
tt1918965,Murder 2,movie,"Action, Crime, Drama",6.3,8095.0,2011.0
tt1920849,Bachelorette,movie,"Comedy, Romance",5.3,49678.0,2012.0
tt1920885,Big Fish & Begonia,movie,"Adventure, Animation, Drama",7.0,7144.0,2016.0
tt1920945,Good Vibrations,movie,"Biography, Drama, Music",7.2,5737.0,2012.0
tt1921043,The Clown,movie,"Comedy, Drama",7.2,5802.0,2011.0
tt1921064,Pompeii,movie,"Action, Adventure, Drama",5.5,119881.0,2014.0
tt1921070,Pusher,movie,"Crime, Thriller",5.5,5068.0,2012.0
tt1921149,Trash,movie,"Adventure, Crime, Drama",7.1,23308.0,2014.0
tt1922612,Glee: The 3D Concert Movie,movie,"Comedy, Documentary, Music",5.6,6124.0,2011.0
tt1922685,Phantom,movie,"Drama, History, Thriller",5.9,15454.0,2013.0
tt1922777,Sinister,movie,"Horror, Mystery, Thriller",6.8,298521.0,2012.0
tt1924245,Cry Macho,movie,Drama,5.7,35243.0,2021.0
tt1924277,Unit 7,movie,"Action, Adventure, Crime",6.5,6492.0,2012.0
tt1924394,The Angels' Share,movie,"Comedy, Crime, Drama",7.0,27633.0,2012.0
tt1924396,The Best Offer,movie,"Crime, Drama, Mystery",7.8,133005.0,2013.0
tt19244260,Red Right Hand,movie,"Action, Thriller",5.5,5870.0,2024.0
tt1924429,Trance,movie,"Crime, Drama, Mystery",6.9,119354.0,2013.0
tt1924435,Let's Be Cops,movie,"Action, Comedy, Crime",6.4,142038.0,2014.0
tt19246408,The Nightingale of Bursa,movie,"Comedy, Drama, Music",6.8,8110.0,2023.0
tt1925421,Elena,movie,"Crime, Drama, Thriller",7.3,15586.0,2011.0
tt1925431,Fire with Fire,movie,"Action, Crime, Mystery",5.6,27978.0,2012.0
tt1925435,Frankenstein's Army,movie,"Horror, Sci-Fi",5.4,9576.0,2013.0
tt1925479,Officer Down,movie,"Crime, Drama",5.5,6034.0,2013.0
tt1925518,The Protector 2,movie,Action,5.3,7750.0,2013.0
tt1926313,Pyaar Ka Punchnama,movie,"Comedy, Drama, Romance",7.6,23193.0,2011.0
tt1927077,Letters to Santa,movie,"Comedy, Romance",7.2,5069.0,2011.0
tt1928330,Bad Ass,movie,"Action, Comedy, Crime",5.5,20033.0,2012.0
tt1928340,After the Dark,movie,"Drama, Fantasy, Mystery",5.6,24112.0,2013.0
tt19289040,Jahaan Chaar Yaar,movie,"Comedy, Drama",3.3,8425.0,2022.0
tt1929263,Heaven Is for Real,movie,"Biography, Drama, Family",5.9,29339.0,2014.0
tt1929308,Magic Magic,movie,"Drama, Thriller",5.0,10552.0,2013.0
tt1930294,Black Rock,movie,"Horror, Thriller",4.8,10112.0,2012.0
tt1930546,Arthur Newman,movie,"Comedy, Drama",5.6,7966.0,2012.0
tt1931435,The Big Wedding,movie,"Comedy, Drama, Romance",5.6,52851.0,2013.0
tt1931470,Declaration of War,movie,Drama,7.0,5395.0,2011.0
tt1931533,Seven Psychopaths,movie,"Comedy, Crime",7.1,280942.0,2012.0
tt1931602,Very Good Girls,movie,"Drama, Romance",5.9,16624.0,2013.0
tt1932718,Thanks for Sharing,movie,"Comedy, Drama, Romance",6.4,29976.0,2012.0
tt1932767,What Maisie Knew,movie,Drama,7.4,28946.0,2012.0
tt1934231,Delhi Belly,movie,"Action, Comedy, Crime",7.6,33424.0,2011.0
tt1935065,Not Suitable for Children,movie,"Comedy, Romance",5.8,5377.0,2012.0
tt1935156,Jodorowsky's Dune,movie,Documentary,8.0,28700.0,2013.0
tt1935179,Mud,movie,"Adventure, Drama",7.4,194334.0,2012.0
tt1935194,Overdrive,movie,"Action, Adventure, Crime",5.4,17235.0,2017.0
tt1935302,Monsters: Dark Continent,movie,"Action, Drama, Sci-Fi",4.3,11480.0,2014.0
tt19356262,Drive-Away Dolls,movie,"Action, Comedy, Thriller",5.4,23300.0,2024.0
tt1935859,Miss Peregrine's Home for Peculiar Children,movie,"Adventure, Drama, Family",6.7,200758.0,2016.0
tt1935896,The ABCs of Death,movie,"Comedy, Horror",4.7,20877.0,2012.0
tt1935897,Amityville: The Awakening,movie,"Horror, Thriller",4.8,16140.0,2017.0
tt1935902,The Brass Teapot,movie,"Comedy, Fantasy, Thriller",6.3,17523.0,2012.0
tt1935914,The Last Days,movie,"Horror, Sci-Fi, Thriller",6.1,9336.0,2013.0
tt1935940,Get Santa,movie,"Comedy, Family, Fantasy",6.3,5042.0,2014.0
tt1937118,Chinese Puzzle,movie,"Comedy, Drama, Romance",6.9,15554.0,2013.0
tt1937133,On the Other Side of the Tracks,movie,"Action, Comedy, Crime",5.8,6215.0,2012.0
tt1937149,The Body,movie,"Crime, Drama, Mystery",7.6,75899.0,2012.0
tt1937264,Now Is Good,movie,"Drama, Romance",7.0,35356.0,2012.0
tt1937269,One Small Hitch,movie,"Comedy, Romance",6.5,5529.0,2013.0
tt1937339,Sunny,movie,"Comedy, Drama",7.7,6822.0,2011.0
tt1937390,Nymphomaniac: Vol. I,movie,Drama,6.9,135092.0,2013.0
tt1937449,At Any Price,movie,"Drama, Sport, Thriller",5.6,8118.0,2012.0
tt1939659,Carrie,movie,"Drama, Horror, Thriller",5.8,152135.0,2013.0
tt19406606,The Shift,movie,"Action, Romance, Sci-Fi",5.5,5811.0,2023.0
tt1942884,Indie Game: The Movie,movie,"Documentary, Drama",7.6,21564.0,2012.0
tt1945044,Exeter,movie,"Horror, Mystery, Thriller",4.5,6346.0,2015.0
tt1945062,About Cherry,movie,Drama,4.8,11164.0,2012.0
tt1945084,Everly,movie,"Action, Thriller",5.1,19881.0,2014.0
tt1945228,Voyage of Time: Life's Journey,movie,"Documentary, Drama",6.5,5612.0,2016.0
tt1946502,UglyDolls,movie,"Adventure, Animation, Comedy",5.1,8224.0,2019.0
tt19465630,Sniper. The White Raven,movie,"Drama, War",6.4,7291.0,2022.0
tt1948150,Singham,movie,"Action, Crime, Drama",6.8,20386.0,2011.0
tt19500164,Nimona,movie,"Action, Adventure, Animation",7.5,56482.0,2023.0
tt1950186,Ford v Ferrari,movie,"Action, Biography, Drama",8.1,520008.0,2019.0
tt1950235,Let It Snow,movie,"Comedy, Romance",5.9,26063.0,2019.0
tt1951166,Capital,movie,Drama,6.5,5713.0,2012.0
tt1951181,The Immigrant,movie,"Drama, Romance",6.6,34539.0,2013.0
tt1951216,The Look of Love,movie,"Biography, Comedy, Drama",6.0,7461.0,2013.0
tt1951261,The Hangover Part III,movie,"Comedy, Crime",5.8,348028.0,2013.0
