movie_title,year,genre
Inception,2010,action
Mad Max: Fury Road,2015,action
The Dark Knight,2008,action
John Wick,2014,action
Gladiator,2000,action
The Matrix,1999,action
Skyfall,2012,action
Mission Impossible: Fallout,2018,action
Casino Royale,2006,action
Avengers: Endgame,2019,action
Black Panther,2018,action
Iron Man,2008,action
Captain America: The Winter Soldier,2014,action
The Bourne Ultimatum,2007,action
Tenet,2020,action
No Time to Die,2021,action
Extraction,2020,action
Nobody,2021,action
The Batman,2022,action
Fast Five,2011,action
