movie_title,year,genre
Inside Out,2015,animation
Toy Story,1995,animation
Finding Nemo,2003,animation
The Lion King,1994,animation
Shrek,2001,animation
Zootopia,2016,animation
Frozen,2013,animation
Big Hero 6,2014,animation
Ratatouille,2007,animation
Wall-E,2008,animation
Up,2009,animation
Coco,2017,animation
Moana,2016,animation
Tangled,2010,animation
Encanto,2021,animation
The Incredibles,2004,animation
How to Train Your Dragon,2010,animation
Kung Fu Panda,2008,animation
Despicable Me,2010,animation
Monsters Inc.,2001,animation
