movie_title,year,genre
Superbad,2007,comedy
Step Brothers,2008,comedy
The Hangover,2009,comedy
Bridesmaids,2011,comedy
Mean Girls,2004,comedy
The 40-Year-Old Virgin,2005,comedy
Anchorman,2004,comedy
Dumb and Dumber,1994,comedy
Borat,2006,comedy
Wedding Crashers,2005,comedy
Tropic Thunder,2008,comedy
Zombieland,2009,comedy
Pineapple Express,2008,comedy
School of Rock,2003,comedy
Elf,2003,comedy
The Mask,1994,comedy
Groundhog Day,1993,comedy
Game Night,2018,comedy
Crazy Stupid Love,2011,comedy
Shaun of the Dead,2004,comedy
