movie_title,Domestic Box Office,International Box Office,Worldwide Box Office
Barbie,636785476,807673753,1444459229
Oppenheimer,330078895,646185644,976264539
Avatar The Way of Water,684075767,1636174514,2320250281
The Batman,369612903,401247477,770860380
Black Panther Wakanda Forever,453829060,405379776,859208836
Dune Part Two,282709065,432002455,714711520
John Wick Chapter 4,187131806,253188772,440320578
Nope,123277080,48762007,172039087
The Super Mario Bros Movie,574934330,784212298,1359146628
Top Gun Maverick,718732821,735268289,1454001110
